Transfer Institution,Transfer Course,Receive Institution,Equivalent Course,Comments,Begin Date,End Date
WASHINGTON STATE UNIVERSITY,FINE ART 101 INTRODUCTION TO ART (3),BELLEVUE COLLEGE,"ART 105 ART APPRECIATION (Variable, 1-5)",Humanities,7/1/2012,
WASHINGTON STATE UNIVERSITY,FINE ART 201 WORLD ART HISTORY I (3),BELLEVUE COLLEGE,ART 201 HISTORY OF WESTERN ART (5),Humanities,7/1/2012,
WASHINGTON STATE UNIVERSITY,"FINE ART 201 WORLD ART HISTORY I (3)
FINE ART 202 WORLD ART HISTORY II (3)",BELLEVUE COLLEGE,"ART 201 HISTORY OF WESTERN ART (5)
ART 202 HISTORY OF WESTERN ART (5)
ART 203 HISTORY OF WESTERN ART (5)",Humanities,7/1/2012,
WASHINGTON STATE UNIVERSITY,"FREN 101 FIRST SEMESTER (4)
FREN 102 SECOND SEMESTER (4)",BELLEVUE COLLEGE,"FRCH& 121 FRENCH I (5)
FRCH& 122 FRENCH II (5)
FRCH& 123 FRENCH III (5)",Humanities,,
WASHINGTON STATE UNIVERSITY,"FRENCH 101 FIRST SEMESTER (4)
FRENCH 102 SECOND SEMESTER (4)",BELLEVUE COLLEGE,"FRCH& 121 FRENCH I (5)
FRCH& 122 FRENCH II (5)
FRCH& 123 FRENCH III (5)",Humanities,1/1/2012,
WASHINGTON STATE UNIVERSITY,FSHN 130 NUTRITION FOR LIVING (3),BELLEVUE COLLEGE,NUTR 100 PERSONAL NUTRITION (5),Sciences (No Lab),,
WASHINGTON STATE UNIVERSITY,GENED 104 FRESHMAN SEMINAR (2),BELLEVUE COLLEGE,HD 100 FIRST YEAR EXPERIENCE (Variable 1-2),Restricted Electives,,
WASHINGTON STATE UNIVERSITY,"GENED 110 WORLD CIVILIZATIONS I (3)
GENED 111 WORLD CIVILIZATIONS II (3)",BELLEVUE COLLEGE,"HIST 101 HISTORY OF CIVILIZATION CULTURAL TRADITIONS (5)
HIST 102 HISTORY OF CIVILIZATION MIDDLE AGES (5)
HIST 103 HISTORY OF CIVILIZATION CONTEMPORARY WORLD (5)",Humanities or Social Sciences,,
WASHINGTON STATE UNIVERSITY,GENED 110 WORLD CIVILIZATIONS I (3),BELLEVUE COLLEGE,HIST 102 HISTORY OF CIVILIZATION MIDDLE AGES (5),Humanities or Social Sciences,,
WASHINGTON STATE UNIVERSITY,GENED 111 WORLD CIVILIZATIONS II (3),BELLEVUE COLLEGE,HIST 103 HISTORY OF CIVILIZATION CONTEMPORARY WORLD (5),Humanities or Social Sciences,,
WASHINGTON STATE UNIVERSITY,GEOL 101 INTRODUCTION TO GEOLOGY (4),BELLEVUE COLLEGE,GEOL& 101 INTRODUCTION TO PHYSICAL GEOLOGY (6),Sciences (Lab),,
WASHINGTON STATE UNIVERSITY,GEOL 102 HISTORICAL GEOLOGY (4),BELLEVUE COLLEGE,GEOL& 101 INTRODUCTION TO PHYSICAL GEOLOGY (6),Sciences (lab),1/1/1972,
WASHINGTON STATE UNIVERSITY,GEOLOGY 101 INTRODUCTION TO GEOLOGY (4),BELLEVUE COLLEGE,GEOL& 101 INTRODUCTION TO PHYSICAL GEOLOGY (6),Sciences (Lab),1/1/2012,
WASHINGTON STATE UNIVERSITY,GEOLOGY 210 EARTH’S HISTORY AND EVOLUTION (4),BELLEVUE COLLEGE,GEOL 103 HISTORY OF EARTH (6),Natural Science (Lab),1/1/2012,
WASHINGTON STATE UNIVERSITY,"GERMAN 101 FIRST SEMESTER (4)
GERMAN 102 SECOND SEMESTER (4)",BELLEVUE COLLEGE,"GERM& 121 GERMAN I (5)
GERM& 122 GERMAN II (5)
GERM& 123 GERMAN III (5)",Humanities,1/1/2012,
WASHINGTON STATE UNIVERSITY,"GERMAN 203 THIRD SEMESTER (4)
GERMAN 204 FOURTH SEMESTER (4)",BELLEVUE COLLEGE,"GERM& 221 GERMAN IV (5)
GERM& 222 GERMAN V (5)
GERM& 223 GERMAN VI (5)",Humanities,1/1/2012,
WASHINGTON STATE UNIVERSITY,H D 101 HUMAN DEVELOPMENT ACROSS THE LIFESPAN (3),BELLEVUE COLLEGE,PSYC& 200 LIFESPAN PSYCHOLOGY (5),Social Sciences,,
WASHINGTON STATE UNIVERSITY,H D 201 HUMAN DEVELOPMENT - PRENATAL THROUGH AGE 8 (3),BELLEVUE COLLEGE,EDUC& 115 CHILD DEVELOPMENT (5),Transferable Electives,8/1/2012,
WASHINGTON STATE UNIVERSITY,H D 204 FAMILY SYSTEMS: UNDERSTANDING FAMILY INTERACTION (3),BELLEVUE COLLEGE,ELECT 901T TRANSFER-IN ELECTIVE,Transferable Electives,,
WASHINGTON STATE UNIVERSITY,H D 205 DEVELOPING EFFECTIVE COMMUNICATION AND LIFE SKILLS (4),BELLEVUE COLLEGE,CMST& 210 INTERPERSONAL COMMUNICATION (5),,,
WASHINGTON STATE UNIVERSITY,HBM 131 INTRODUCTION TO HOSPITALITY BUSINESS MANAGEMENT (3),BELLEVUE COLLEGE,ELECT 901R TRANSFER-IN RESTRICTED ELECTIVE,Restricted Electives,9/1/2010,
WASHINGTON STATE UNIVERSITY,HIST 110 AMERICAN HISTORY TO 1877 (3),BELLEVUE COLLEGE,HIST& 146 US HISTORY I (5),Humanities or Social Sciences,1/1/2001,
WASHINGTON STATE UNIVERSITY,HIST 111 AMERICAN HISTORY SINCE 1877 (3),BELLEVUE COLLEGE,HIST& 147 US HISTORY II (5),Humanities or Social Sciences,1/1/2001,
WASHINGTON STATE UNIVERSITY,HIST 272 INTRODUCTION TO MIDDLE EASTERN HISTORY (3),BELLEVUE COLLEGE,HIST 261 THE MIDDLE EAST IN THE ISLAMIC ERA (5),Humanities or Social Sciences,,
WASHINGTON STATE UNIVERSITY,HISTORY 105 THE ROOTS OF CONTEMPORARY ISSUES (3),BELLEVUE COLLEGE,HIST 901 TRANSFER-IN HISTORY COURSE,"Humanities
Social Sciences",7/1/2012,
WASHINGTON STATE UNIVERSITY,"HISTORY 120 WORLD HISTORY I (3)
HISTORY 121 WORLD HISTORY II (3)",BELLEVUE COLLEGE,"HIST 101 HISTORY OF CIVILIZATION CULTURAL TRADITIONS (5)
HIST 102 HISTORY OF CIVILIZATION MIDDLE AGES (5)
HIST 103 HISTORY OF CIVILIZATION CONTEMPORARY WORLD (5)",Humanities or Social Sciences,8/1/2013,
WASHINGTON STATE UNIVERSITY,HONORS 280 CONTEXTUAL UNDERSTANDING IN THE ARTS AND HUMANITIES (3),BELLEVUE COLLEGE,HUMAN 901 TRANSFER-IN HUMANITIES COURSE,Humanities,7/1/2012,
WASHINGTON STATE UNIVERSITY,"ITAL 101 FIRST SEMESTER (4)
ITAL 102 SECOND SEMESTER (4)",BELLEVUE COLLEGE,"ITAL 121 ITALIAN I (5)
ITAL 122 ITALIAN II (5)
ITAL 123 ITALIAN III (5)",Humanities,,
WASHINGTON STATE UNIVERSITY,M E 103 ENGINEERING GRAPHICS (3),BELLEVUE COLLEGE,ENGR& 114 ENGINEERING GRAPHICS (4),Transferable Electives,1/1/2003,
WASHINGTON STATE UNIVERSITY,MATH 101 INTERMEDIATE ALGEBRA (3),BELLEVUE COLLEGE,MATH 099 INTERMEDIATE ALGEBRA (5),Intermediate Algebra,,
WASHINGTON STATE UNIVERSITY,"MATH 101 INTERMEDIATE ALGEBRA (3)
MATH 103 ALGEBRA METHODS AND INTRODUCTION TO FUNCTIONS (3)",BELLEVUE COLLEGE,MATH 099 INTERMEDIATE ALGEBRA (5),Intermediate Algebra,,
WASHINGTON STATE UNIVERSITY,MATH 103 ALGEBRA METHODS AND INTRODUCTION TO FUNCTIONS (3),BELLEVUE COLLEGE,MATH 099 INTERMEDIATE ALGEBRA (5),Intermediate Algebra,,
WASHINGTON STATE UNIVERSITY,MATH 105 EXPLORING MATHEMATICS (3),BELLEVUE COLLEGE,MATH& 107 MATH IN SOCIETY (5),Quantitative or Sciences.  Either Math 105 OR Math 210 transfers as Math& 107.,,
WASHINGTON STATE UNIVERSITY,MATH 106 COLLEGE ALGEBRA (3),BELLEVUE COLLEGE,MATH& 141 PRECALCULUS I (5),Quantitative or Sciences,,
WASHINGTON STATE UNIVERSITY,MATH 107 PRECALCULUS (4),BELLEVUE COLLEGE,"MATH& 141 PRECALCULUS I (5)
MATH& 142 PRECALCULUS II (5)",Quantitative or Sciences,,
