Transfer Institution,Transfer Course,Receive Institution,Equivalent Course,Comments,Begin Date,End Date
UNIVERSITY OF WASHINGTON BOTHELL,B WRIT 135 RESEARCH WRITING (5),BELLEVUE COLLEGE,ENGL 201 THE RESEARCH PAPER (5),,1/1/2014,
UNIVERSITY OF WASHINGTON BOTHELL,BES 180 INTRODUCTORY BIOLOGY (5),BELLEVUE COLLEGE,BIOL& 212 BIOLOGY MAJORS ANIMAL OR CELLULAR OR PLANT (6),Natural Sciences,,
UNIVERSITY OF WASHINGTON BOTHELL,BES 200 INTRODUCTORY BIOLOGY (5),BELLEVUE COLLEGE,BIOL& 211 BIOLOGY MAJORS CELLULAR OR ANIMAL OR PLANT (6),,,
UNIVERSITY OF WASHINGTON BOTHELL,BES 220 INTRODUCTORY BIOLOGY (5),BELLEVUE COLLEGE,BIOL& 213 BIOLOGY MAJORS PLANT OR CELLULAR OR ANIMAL (6),,,
UNIVERSITY OF WASHINGTON BOTHELL,BIS 121 INTRODUCTION TO DRAWING (5),BELLEVUE COLLEGE,ART 120 DRAWING I (5),,,
UNIVERSITY OF WASHINGTON BOTHELL COURSE DESCRIPTIONS,BIS 181 INTRODUCTION TO SOCIOLOGY (5),BELLEVUE COLLEGE,SOC& 101 INTRODUCTION TO SOCIOLOGY (5),,5/8/2025,
UNIVERSITY OF WASHINGTON BOTHELL,BIS 208 EXPERIMENTING THROUGH THE ARTS (5),BELLEVUE COLLEGE,ELECT 901T TRANSFER-IN ELECTIVE,Transferable Electives,,
UNIVERSITY OF WASHINGTON BOTHELL,BIS 221 GENDER AND SEXUALITY (5),BELLEVUE COLLEGE,SOC 256 SOCIOLOGY OF SEXUALITIES (5),Social Sciences,1/1/2009,
UNIVERSITY OF WASHINGTON BOTHELL,BIS 257 INTRODUCTION TO ASIAN AMERICAN STUDIES (5),BELLEVUE COLLEGE,CES 150 INTRODUCTION TO ASIAN AMERICAN STUDIES (5),,,
UNIVERSITY OF WASHINGTON BOTHELL,BIS 270 ABNORMAL PSYCHOLOGY (5),BELLEVUE COLLEGE,PSYC& 220 ABNORMAL PSYCHOLOGY (5),Social Sciences,9/1/2009,
UNIVERSITY OF WASHINGTON BOTHELL,"BISAMS 305 POWER, DISSENT, AND AMERICAN CULTURE (5)",BELLEVUE COLLEGE,CES 200 EQUITY AND DIVERSITY IN CONTEMPORARY CULTURE (5),Social Sciences,,
UNIVERSITY OF WASHINGTON BOTHELL COURSE DESCRIPTIONS,"CSS 342 DATA STRUCTURES, ALGORITHMS, AND DISCRETE MATHEMATICS I (5)",BELLEVUE COLLEGE,CS 300 DATA STRUCTURES (5),,,
UNIVERSITY OF WASHINGTON BOTHELL COURSE DESCRIPTIONS,CSS 360 SOFTWARE ENGINEERING (5),BELLEVUE COLLEGE,CS 410 SOFTWARE ENGINEERING (5),,,
UNIVERSITY OF WASHINGTON BOTHELL,"STMATH 124 CALCULUS I (5)
STMATH 125 CALCULUS II (5)
STMATH 126 CALCULUS III (5)",BELLEVUE COLLEGE,"MATH& 151 CALCULUS I (5)
MATH& 152 CALCULUS II (5)
MATH& 153 CALCULUS III (5)",,,
UNIVERSITY OF WASHINGTON BOTHELL,STMATH 307 INTRODUCTION TO DIFFERENTIAL EQUATIONS (5),BELLEVUE COLLEGE,MATH 238 DIFFERENTIAL EQUATIONS (5),,,
