Transfer Institution,Transfer Course,Receive Institution,Equivalent Course,Comments,Begin Date,End Date
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,CHIN 101 FIRST-YEAR CHINESE FOR NON-HERITAGE LEARNERS (5),BELLEVUE COLLEGE,CHIN& 121 CHINESE I (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,CHIN 102 FIRST-YEAR CHINESE FOR NON-HERITAGE LEARNERS (5),BELLEVUE COLLEGE,CHIN& 122 CHINESE II (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,CHIN 103 FIRST-YEAR CHINESE FOR NON-HERITAGE LEARNERS (5),BELLEVUE COLLEGE,CHIN& 123 CHINESE III (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,CHIN 111 FIRST-YEAR CHINESE FOR HERITAGE LEARNERS (5),BELLEVUE COLLEGE,CHIN& 121 CHINESE I (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,CHIN 112 FIRST-YEAR CHINESE FOR HERITAGE LEARNERS (5),BELLEVUE COLLEGE,CHIN& 122 CHINESE II (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,CHIN 113 FIRST-YEAR CHINESE FOR HERITAGE LEARNERS (5),BELLEVUE COLLEGE,CHIN& 123 CHINESE III (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,CHIN 201 SECOND-YEAR CHINESE FOR NON-HERITAGE LEARNERS (5),BELLEVUE COLLEGE,CHIN& 221 CHINESE IV (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,CHIN 202 SECOND-YEAR CHINESE FOR NON-HERITAGE LEARNERS (5),BELLEVUE COLLEGE,CHIN& 222 CHINESE V (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,CHIN 203 SECOND-YEAR CHINESE FOR NON-HERITAGE LEARNERS (5),BELLEVUE COLLEGE,CHIN& 123 CHINESE III (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,CHIN 211 SECOND-YEAR CHINESE FOR HERITAGE LEARNERS (5),BELLEVUE COLLEGE,CHIN& 221 CHINESE IV (5),,,
